time;Gb(i);Gd(i);Gr(i);H_sun;T2m;WS10m;Int
20160104:1510;0.0;0.0;0.0;0.0;-6.12;1.5;0.0
20160104:1610;0.0;0.0;0.0;0.0;-6.01;1.4;0.0
20160104:1710;0.0;0.0;0.0;0.0;-5.9;1.3;0.0
20160104:1810;0.0;0.0;0.0;0.0;-5.79;1.2;0.0
20160104:1910;0.0;0.0;0.0;0.0;-6.16;1.15;0.0
20160104:2010;0.0;0.0;0.0;0.0;-6.53;1.11;0.0
20160104:2110;0.0;0.0;0.0;0.0;-6.9;1.06;0.0
20160104:2210;0.0;0.0;0.0;0.0;-7.12;1.05;0.0
20160104:2310;0.0;0.0;0.0;0.0;-7.35;1.03;0.0
20160105:0010;0.0;0.0;0.0;0.0;-7.58;1.02;0.0
20160105:0110;0.0;0.0;0.0;0.0;-7.03;1.05;0.0
20160105:0210;0.0;0.0;0.0;0.0;-6.49;1.08;0.0
20160105:0310;0.0;0.0;0.0;0.0;-5.95;1.1;0.0
20160105:0410;0.0;0.0;0.0;0.0;-5.82;1.14;0.0
20160105:0510;0.0;0.0;0.0;0.0;-5.7;1.18;0.0
20160105:0610;0.0;0.0;0.0;0.0;-5.57;1.21;0.0
20160105:0710;0.0;0.0;0.0;0.0;-5.66;1.16;0.0
20160105:0810;0.0;32.0;0.0;7.45;-5.75;1.1;1.0
20160105:0910;138.01;138.0;0.0;14.3;-5.84;1.05;1.0
20160105:1010;14.0;14.0;0.0;19.2;-5.23;1.33;1.0
20160105:1110;55.0;55.0;0.0;21.69;-4.61;1.62;1.0
20160105:1210;2.0;2.0;0.0;21.5;-4.0;1.9;1.0
20160105:1310;0.0;118.0;0.0;18.65;-3.81;1.49;1.0
20160105:1410;0.0;11.0;0.0;13.45;-3.63;1.07;1.0
20160105:1510;0.0;17.0;0.0;6.36;-3.45;0.65;1.0
20160105:1610;0.0;0.0;0.0;0.0;-4.12;0.73;0.0
20160105:1710;0.0;0.0;0.0;0.0;-4.79;0.81;0.0
20160105:1810;0.0;0.0;0.0;0.0;-5.47;0.9;0.0
20160105:1910;0.0;0.0;0.0;0.0;-6.02;0.91;0.0
20160105:2010;0.0;0.0;0.0;0.0;-6.58;0.92;0.0
20160105:2110;0.0;0.0;0.0;0.0;-7.14;0.94;0.0
20160105:2210;0.0;0.0;0.0;0.0;-7.64;0.96;0.0
20160105:2310;0.0;0.0;0.0;0.0;-8.15;0.98;0.0
20160106:0010;0.0;0.0;0.0;0.0;-8.66;1.01;0.0
20160106:0110;0.0;0.0;0.0;0.0;-8.35;0.99;0.0
20160106:0210;0.0;0.0;0.0;0.0;-8.04;0.98;0.0
20160106:0310;0.0;0.0;0.0;0.0;-7.73;0.97;0.0
20160106:0410;0.0;0.0;0.0;0.0;-7.66;0.99;0.0
20160106:0510;0.0;0.0;0.0;0.0;-7.59;1.01;0.0
20160106:0610;0.0;0.0;0.0;0.0;-7.52;1.03;0.0
20160106:0710;0.0;0.0;0.0;0.0;-7.49;1.01;0.0
20160106:0810;0.0;16.0;0.0;7.49;-7.46;0.98;1.0
20160106:0910;9.0;9.0;0.0;14.36;-7.42;0.95;1.0
20160106:1010;44.0;44.0;0.0;19.28;-6.79;1.05;1.0
20160106:1110;41.0;41.0;0.0;21.8;-6.17;1.15;1.0
20160106:1210;37.0;37.0;0.0;21.63;-5.54;1.26;1.0
20160106:1310;0.0;0.0;0.0;0.0;-5.61;1.14;0.0
20160106:1410;0.0;1.0;0.0;13.6;-5.68;1.03;1.0
20160106:1510;0.0;13.0;0.0;6.52;-5.75;0.92;1.0
20160106:1610;0.0;0.0;0.0;0.0;-6.51;1.09;0.0
20160106:1710;0.0;0.0;0.0;0.0;-7.27;1.26;0.0
20160106:1810;0.0;0.0;0.0;0.0;-8.03;1.42;0.0
20160106:1910;0.0;0.0;0.0;0.0;-7.99;1.46;0.0
20160106:2010;0.0;0.0;0.0;0.0;-7.95;1.49;0.0
20160106:2110;0.0;0.0;0.0;0.0;-7.92;1.53;0.0
20160106:2210;0.0;0.0;0.0;0.0;-8.21;1.56;0.0
20160106:2310;0.0;0.0;0.0;0.0;-8.51;1.59;0.0
20160107:0010;0.0;0.0;0.0;0.0;-8.81;1.61;0.0
20160107:0110;0.0;0.0;0.0;0.0;-8.81;1.48;0.0
20160107:0210;0.0;0.0;0.0;0.0;-8.81;1.35;0.0
20160107:0310;0.0;0.0;0.0;0.0;-8.82;1.21;0.0
20160107:0410;0.0;0.0;0.0;0.0;-8.51;1.15;0.0
20160107:0510;0.0;0.0;0.0;0.0;-8.2;1.09;0.0
20160107:0610;0.0;0.0;0.0;0.0;-7.89;1.03;0.0
20160107:0710;0.0;0.0;0.0;0.0;-7.42;1.01;0.0
20160107:0810;0.0;0.0;0.0;0.0;-6.95;0.99;0.0
20160107:0910;0.0;0.0;0.0;0.0;-6.48;0.97;0.0
20160107:1010;0.0;0.0;0.0;0.0;-6.24;0.97;0.0
20160107:1110;0.0;0.0;0.0;0.0;-5.99;0.98;0.0
20160107:1210;0.0;0.0;0.0;0.0;-5.75;0.99;0.0
20160107:1310;0.0;21.0;0.0;18.94;-5.64;1.09;1.0
20160107:1410;0.0;10.0;0.0;13.75;-5.54;1.2;1.0
20160107:1510;0.0;64.0;0.0;6.67;-5.44;1.3;1.0
20160107:1610;0.0;0.0;0.0;0.0;-5.14;1.58;0.0
20160107:1710;0.0;0.0;0.0;0.0;-4.84;1.87;0.0
20160107:1810;0.0;0.0;0.0;0.0;-4.54;2.15;0.0
20160107:1910;0.0;0.0;0.0;0.0;-4.6;2.17;0.0
