time;Gb(i);Gd(i);Gr(i);H_sun;T2m;WS10m;Int
20160330:1610;223.0;76.0;0.0;17.62;2.12;2.03;0.0
20160330:1710;0.0;43.0;0.0;7.2;1.66;1.96;0.0
20160330:1810;0.0;0.0;0.0;0.0;1.2;1.89;0.0
20160330:1910;0.0;0.0;0.0;0.0;0.76;1.9;0.0
20160330:2010;0.0;0.0;0.0;0.0;0.31;1.91;0.0
20160330:2110;0.0;0.0;0.0;0.0;-0.14;1.92;0.0
20160330:2210;0.0;0.0;0.0;0.0;-0.12;1.71;0.0
20160330:2310;0.0;0.0;0.0;0.0;-0.11;1.5;0.0
20160331:0010;0.0;0.0;0.0;0.0;-0.1;1.3;0.0
20160331:0110;0.0;0.0;0.0;0.0;-0.24;1.47;0.0
20160331:0210;0.0;0.0;0.0;0.0;-0.37;1.64;0.0
20160331:0310;0.0;0.0;0.0;0.0;-0.51;1.81;0.0
20160331:0410;0.0;0.0;0.0;0.0;-0.57;1.75;0.0
20160331:0510;0.0;0.0;0.0;0.0;-0.62;1.7;0.0
20160331:0610;0.0;30.0;0.0;9.04;-0.68;1.64;0.0
20160331:0710;0.0;92.0;0.0;19.42;0.2;1.77;0.0
20160331:0810;2.0;152.0;0.0;29.27;1.08;1.89;0.0
20160331:0910;0.0;196.0;0.0;37.99;1.95;2.01;0.0
20160331:1010;0.0;91.0;0.0;44.72;2.41;2.24;0.0
20160331:1110;0.0;70.0;0.0;48.36;2.88;2.47;0.0
20160331:1210;0.0;126.0;0.0;48.04;3.34;2.7;0.0
20160331:1310;1.0;297.0;0.0;43.85;1.73;2.51;0.0
20160331:1410;41.0;245.0;0.0;36.75;0.11;2.32;0.0
20160331:1510;2.0;91.0;0.0;27.81;-1.5;2.12;0.0
20160331:1610;0.0;52.0;0.0;17.85;-1.74;2.05;0.0
20160331:1710;0.0;38.0;0.0;7.42;-1.98;1.97;0.0
20160331:1810;0.0;0.0;0.0;0.0;-2.23;1.89;0.0
20160331:1910;0.0;0.0;0.0;0.0;-2.02;1.68;0.0
20160331:2010;0.0;0.0;0.0;0.0;-1.81;1.48;0.0
20160331:2110;0.0;0.0;0.0;0.0;-1.61;1.27;0.0
20160331:2210;0.0;0.0;0.0;0.0;-1.28;1.03;0.0
20160331:2310;0.0;0.0;0.0;0.0;-0.95;0.79;0.0
20160401:0010;0.0;0.0;0.0;0.0;-0.63;0.55;0.0
20160401:0110;0.0;0.0;0.0;0.0;-0.68;0.5;0.0
20160401:0210;0.0;0.0;0.0;0.0;-0.74;0.45;0.0
20160401:0310;0.0;0.0;0.0;0.0;-0.79;0.4;0.0
20160401:0410;0.0;0.0;0.0;0.0;-1.27;0.46;0.0
20160401:0510;0.0;0.0;0.0;0.0;-1.74;0.53;0.0
20160401:0610;0.0;59.0;0.0;9.37;-2.21;0.59;0.0
20160401:0710;1.0;104.0;0.0;19.76;-1.53;0.71;0.0
20160401:0810;24.0;219.0;0.0;29.62;-0.86;0.83;0.0
20160401:0910;77.0;306.0;0.0;38.36;-0.18;0.95;0.0
20160401:1010;20.0;313.0;0.0;45.11;0.28;1.36;0.0
20160401:1110;240.0;358.0;0.0;48.75;0.74;1.76;0.0
20160401:1210;117.0;383.0;0.0;48.41;1.2;2.17;0.0
20160401:1310;76.0;353.0;0.0;44.18;0.55;1.93;0.0
20160401:1410;58.0;299.0;0.0;37.03;-0.09;1.7;0.0
20160401:1510;38.0;227.0;0.0;28.06;-0.74;1.46;0.0
20160401:1610;2.0;110.0;0.0;18.08;-0.22;1.35;0.0
20160401:1710;0.0;21.0;0.0;7.64;0.3;1.24;0.0
20160401:1810;0.0;0.0;0.0;0.0;0.82;1.13;0.0
20160401:1910;0.0;0.0;0.0;0.0;0.2;1.01;0.0
20160401:2010;0.0;0.0;0.0;0.0;-0.42;0.88;0.0
20160401:2110;0.0;0.0;0.0;0.0;-1.05;0.76;0.0
20160401:2210;0.0;0.0;0.0;0.0;-1.08;0.77;0.0
20160401:2310;0.0;0.0;0.0;0.0;-1.12;0.79;0.0
20160402:0010;0.0;0.0;0.0;0.0;-1.16;0.8;0.0
20160402:0110;0.0;0.0;0.0;0.0;-1.74;0.73;0.0
20160402:0210;0.0;0.0;0.0;0.0;-2.33;0.66;0.0
20160402:0310;0.0;0.0;0.0;0.0;-2.92;0.59;0.0
20160402:0410;0.0;0.0;0.0;0.0;-2.85;0.53;0.0
20160402:0510;0.0;0.0;0.0;0.0;-2.77;0.47;0.0
20160402:0610;0.0;52.0;0.0;9.7;-2.69;0.41;0.0
20160402:0710;0.0;71.0;0.0;20.09;-1.53;0.95;0.0
20160402:0810;0.0;80.0;0.0;29.97;-0.38;1.49;0.0
20160402:0910;9.0;251.0;0.0;38.72;0.78;2.03;0.0
20160402:1010;0.0;147.0;0.0;45.49;1.33;2.38;0.0
20160402:1110;9.0;311.0;0.0;49.15;1.87;2.74;0.0
20160402:1210;193.0;374.0;0.0;48.78;2.42;3.09;0.0
20160402:1310;11.0;296.0;0.0;44.5;1.79;2.84;0.0
20160402:1410;51.0;299.0;0.0;37.31;1.16;2.58;0.0
20160402:1510;168.0;213.0;0.0;28.3;0.53;2.33;0.0
20160402:1610;69.0;147.0;0.0;18.3;0.47;2.14;0.0
20160402:1710;0.0;60.0;0.0;7.86;0.41;1.94;0.0
20160402:1810;0.0;0.0;0.0;0.0;0.34;1.75;0.0
20160402:1910;0.0;0.0;0.0;0.0;0.07;1.68;0.0
20160402:2010;0.0;0.0;0.0;0.0;-0.2;1.6;0.0
20160402:2110;0.0;0.0;0.0;0.0;-0.47;1.53;0.0
20160402:2210;0.0;0.0;0.0;0.0;-0.41;1.41;0.0
20160402:2310;0.0;0.0;0.0;0.0;-0.36;1.28;0.0
20160403:0010;0.0;0.0;0.0;0.0;-0.31;1.16;0.0
20160403:0110;0.0;0.0;0.0;0.0;-0.42;1.18;0.0
20160403:0210;0.0;0.0;0.0;0.0;-0.54;1.2;0.0
20160403:0310;0.0;0.0;0.0;0.0;-0.66;1.21;0.0
20160403:0410;0.0;0.0;0.0;0.0;-0.95;1.16;0.0
20160403:0510;0.0;0.0;0.0;0.0;-1.24;1.11;0.0
20160403:0610;0.0;33.0;0.0;10.02;-1.52;1.06;0.0
20160403:0710;0.0;97.0;0.0;20.43;-0.92;1.6;0.0
20160403:0810;72.0;241.0;0.0;30.31;-0.31;2.15;0.0
20160403:0910;109.0;312.0;0.0;39.09;0.29;2.69;0.0
20160403:1010;10.0;293.0;0.0;45.88;0.43;3.07;0.0
20160403:1110;7.0;302.0;0.0;49.54;0.58;3.44;0.0
20160403:1210;11.0;319.0;0.0;49.15;0.72;3.82;0.0
20160403:1310;143.0;358.0;0.0;44.82;0.03;3.65;0.0
20160403:1410;20.0;276.0;0.0;37.58;-0.67;3.47;0.0
20160403:1510;1.0;166.0;0.0;28.55;-1.36;3.3;0.0
20160403:1610;9.0;131.0;0.0;18.53;-1.46;2.94;0.0
20160403:1710;0.0;61.0;0.0;8.07;-1.56;2.58;0.0
20160403:1810;0.0;0.0;0.0;0.0;-1.66;2.22;0.0
20160403:1910;0.0;0.0;0.0;0.0;-1.54;2.14;0.0
20160403:2010;0.0;0.0;0.0;0.0;-1.42;2.06;0.0
20160403:2110;0.0;0.0;0.0;0.0;-1.3;1.97;0.0
20160403:2210;0.0;0.0;0.0;0.0;-0.99;1.85;0.0
20160403:2310;0.0;0.0;0.0;0.0;-0.68;1.72;0.0
20160404:0010;0.0;0.0;0.0;0.0;-0.37;1.6;0.0
20160404:0110;0.0;0.0;0.0;0.0;-0.21;1.77;0.0
20160404:0210;0.0;0.0;0.0;0.0;-0.06;1.95;0.0
20160404:0310;0.0;0.0;0.0;0.0;0.1;2.12;0.0
20160404:0410;0.0;0.0;0.0;0.0;0.06;2.08;0.0
20160404:0510;0.0;0.0;0.0;0.0;0.02;2.04;0.0
20160404:0610;0.0;61.0;0.0;10.35;-0.02;2.0;0.0
20160404:0710;113.0;145.0;0.0;20.76;0.08;2.56;0.0
20160404:0810;148.0;230.0;0.0;30.66;0.17;3.11;0.0
20160404:0910;0.0;186.0;0.0;39.45;0.27;3.67;0.0
20160404:1010;0.0;168.0;0.0;46.26;0.79;3.69;0.0
20160404:1110;0.0;202.0;0.0;49.92;1.31;3.71;0.0
20160404:1210;5.0;293.0;0.0;49.51;1.83;3.74;0.0
20160404:1310;5.0;275.0;0.0;45.14;0.81;3.48;0.0
20160404:1410;2.0;223.0;0.0;37.86;-0.22;3.21;0.0
20160404:1510;20.0;219.0;0.0;28.79;-1.24;2.95;0.0
20160404:1610;0.0;76.0;0.0;18.75;-1.68;2.68;0.0
20160404:1710;0.0;64.0;0.0;8.29;-2.12;2.4;0.0
20160404:1810;0.0;0.0;0.0;0.0;-2.56;2.12;0.0
20160404:1910;0.0;0.0;0.0;0.0;-2.87;1.99;0.0
20160404:2010;0.0;0.0;0.0;0.0;-3.18;1.85;0.0
20160404:2110;0.0;0.0;0.0;0.0;-3.49;1.71;0.0
20160404:2210;0.0;0.0;0.0;0.0;-2.99;1.69;0.0
20160404:2310;0.0;0.0;0.0;0.0;-2.49;1.67;0.0
20160405:0010;0.0;0.0;0.0;0.0;-2.0;1.66;0.0
20160405:0110;0.0;0.0;0.0;0.0;-1.73;1.72;0.0
20160405:0210;0.0;0.0;0.0;0.0;-1.46;1.79;0.0
20160405:0310;0.0;0.0;0.0;0.0;-1.19;1.86;0.0
20160405:0410;0.0;0.0;0.0;0.0;-1.03;1.86;0.0
20160405:0510;0.0;0.0;0.0;0.0;-0.87;1.85;0.0
20160405:0610;0.0;21.0;0.0;10.67;-0.7;1.85;0.0
20160405:0710;0.0;48.0;0.0;21.09;-1.04;1.77;0.0
20160405:0810;0.0;89.0;0.0;31.0;-1.39;1.69;0.0
20160405:0910;0.0;110.0;0.0;39.82;-1.73;1.61;0.0
20160405:1010;0.0;133.0;0.0;46.65;-1.55;1.64;0.0
20160405:1110;0.0;243.0;0.0;50.31;-1.36;1.66;0.0
20160405:1210;0.0;114.0;0.0;49.87;-1.18;1.68;0.0
20160405:1310;0.0;137.0;0.0;45.46;-0.73;1.69;0.0
20160405:1410;0.0;111.0;0.0;38.13;-0.29;1.7;0.0
20160405:1510;0.0;74.0;0.0;29.03;0.16;1.71;0.0
20160405:1610;0.0;52.0;0.0;18.97;0.28;1.44;0.0
20160405:1710;0.0;30.0;0.0;8.51;0.4;1.18;0.0
20160405:1810;0.0;0.0;0.0;0.0;0.51;0.91;0.0
20160405:1910;0.0;0.0;0.0;0.0;0.26;0.74;0.0
20160405:2010;0.0;0.0;0.0;0.0;0.01;0.58;0.0
20160405:2110;0.0;0.0;0.0;0.0;-0.25;0.41;0.0
20160405:2210;0.0;0.0;0.0;0.0;-0.2;0.57;0.0
20160405:2310;0.0;0.0;0.0;0.0;-0.16;0.72;0.0
20160406:0010;0.0;0.0;0.0;0.0;-0.12;0.87;0.0
20160406:0110;0.0;0.0;0.0;0.0;-0.22;0.92;0.0
20160406:0210;0.0;0.0;0.0;0.0;-0.33;0.98;0.0
20160406:0310;0.0;0.0;0.0;0.0;-0.44;1.03;0.0
20160406:0410;0.0;0.0;0.0;0.0;-0.4;1.03;0.0
20160406:0510;0.0;0.0;0.0;0.0;-0.36;1.03;0.0
20160406:0610;0.0;73.0;0.0;10.99;-0.31;1.02;0.0
20160406:0710;204.0;109.0;0.0;21.42;0.4;1.05;0.0
20160406:0810;240.0;198.0;0.0;31.34;1.12;1.08;0.0
20160406:0910;159.0;311.0;0.0;40.18;1.83;1.1;0.0
20160406:1010;116.0;370.0;0.0;47.03;2.52;1.03;0.0
20160406:1110;270.0;360.0;0.0;50.7;3.21;0.96;0.0
20160406:1210;186.0;386.0;0.0;50.23;3.9;0.88;0.0
20160406:1310;141.0;365.0;0.0;45.77;3.54;1.02;0.0
20160406:1410;80.0;314.0;0.0;38.4;3.17;1.16;0.0
20160406:1510;193.0;212.0;0.0;29.27;2.81;1.3;0.0
20160406:1610;130.0;136.0;0.0;19.19;2.59;1.26;0.0
20160406:1710;0.0;67.0;0.0;8.72;2.37;1.22;0.0
20160406:1810;0.0;0.0;0.0;0.0;2.15;1.19;0.0
20160406:1910;0.0;0.0;0.0;0.0;0.88;1.22;0.0
20160406:2010;0.0;0.0;0.0;0.0;-0.39;1.26;0.0
20160406:2110;0.0;0.0;0.0;0.0;-1.66;1.3;0.0
20160406:2210;0.0;0.0;0.0;0.0;-2.27;1.2;0.0
20160406:2310;0.0;0.0;0.0;0.0;-2.88;1.09;0.0
20160407:0010;0.0;0.0;0.0;0.0;-3.5;0.99;0.0
20160407:0110;0.0;0.0;0.0;0.0;-3.66;1.01;0.0
20160407:0210;0.0;0.0;0.0;0.0;-3.82;1.02;0.0
20160407:0310;0.0;0.0;0.0;0.0;-3.98;1.03;0.0
20160407:0410;0.0;0.0;0.0;0.0;-4.1;1.26;0.0
20160407:0510;0.0;0.0;0.0;0.0;-4.22;1.49;0.0
20160407:0610;0.0;76.0;0.0;11.31;-4.33;1.72;0.0
20160407:0710;112.0;155.0;0.0;21.74;-3.01;1.88;0.0
20160407:0810;71.0;252.0;0.0;31.68;-1.68;2.03;0.0
20160407:0910;92.0;322.0;0.0;40.54;-0.36;2.18;0.0
20160407:1010;214.0;353.0;0.0;47.41;0.54;1.92;0.0
20160407:1110;110.0;397.0;0.0;51.08;1.43;1.66;0.0
20160407:1210;193.0;386.0;0.0;50.59;2.33;1.39;0.0
20160407:1310;275.0;327.0;0.0;46.09;2.1;1.34;0.0
20160407:1410;58.0;311.0;0.0;38.67;1.86;1.29;0.0
20160407:1510;96.0;243.0;0.0;29.5;1.63;1.24;0.0
20160407:1610;118.0;143.0;0.0;19.41;0.57;1.35;0.0
20160407:1710;0.0;62.0;0.0;8.94;-0.5;1.46;0.0
20160407:1810;0.0;0.0;0.0;0.0;-1.57;1.57;0.0
20160407:1910;0.0;0.0;0.0;0.0;-2.32;2.02;0.0
20160407:2010;0.0;0.0;0.0;0.0;-3.07;2.46;0.0
20160407:2110;0.0;0.0;0.0;0.0;-3.83;2.91;0.0
20160407:2210;0.0;0.0;0.0;0.0;-3.8;2.93;0.0
20160407:2310;0.0;0.0;0.0;0.0;-3.78;2.95;0.0
20160408:0010;0.0;0.0;0.0;0.0;-3.76;2.97;0.0
20160408:0110;0.0;0.0;0.0;0.0;-4.06;2.83;0.0
20160408:0210;0.0;0.0;0.0;0.0;-4.36;2.69;0.0
20160408:0310;0.0;0.0;0.0;0.0;-4.66;2.55;0.0
20160408:0410;0.0;0.0;0.0;0.0;-4.62;2.54;0.0
20160408:0510;0.0;0.0;0.0;0.0;-4.58;2.53;0.0
20160408:0610;0.0;77.0;0.0;11.63;-4.53;2.52;0.0
20160408:0710;2.0;125.0;0.0;22.06;-3.99;2.47;0.0
20160408:0810;0.0;76.0;0.0;32.01;-3.46;2.41;0.0
20160408:0910;0.0;128.0;0.0;40.89;-2.92;2.36;0.0
20160408:1010;0.0;136.0;0.0;47.78;-2.38;2.32;0.0
20160408:1110;0.0;100.0;0.0;51.46;-1.85;2.29;0.0
20160408:1210;0.0;97.0;0.0;50.95;-1.31;2.25;0.0
20160408:1310;0.0;92.0;0.0;46.4;-1.79;2.34;0.0
20160408:1410;0.0;102.0;0.0;38.94;-2.26;2.44;0.0
20160408:1510;0.0;63.0;0.0;29.74;-2.74;2.54;0.0
20160408:1610;0.0;88.0;0.0;19.63;-3.13;2.4;0.0
20160408:1710;0.0;22.0;0.0;9.15;-3.52;2.26;0.0
20160408:1810;0.0;0.0;0.0;0.0;-3.92;2.12;0.0
20160408:1910;0.0;0.0;0.0;0.0;-4.54;2.18;0.0
20160408:2010;0.0;0.0;0.0;0.0;-5.16;2.23;0.0
20160408:2110;0.0;0.0;0.0;0.0;-5.78;2.29;0.0
20160408:2210;0.0;0.0;0.0;0.0;-5.57;2.22;0.0
20160408:2310;0.0;0.0;0.0;0.0;-5.36;2.15;0.0
20160409:0010;0.0;0.0;0.0;0.0;-5.16;2.08;0.0
20160409:0110;0.0;0.0;0.0;0.0;-5.23;1.92;0.0
20160409:0210;0.0;0.0;0.0;0.0;-5.31;1.76;0.0
20160409:0310;0.0;0.0;0.0;0.0;-5.39;1.6;0.0
20160409:0410;0.0;0.0;0.0;0.0;-5.4;1.6;0.0
20160409:0510;0.0;0.0;0.0;0.0;-5.41;1.59;0.0
20160409:0610;0.0;33.0;0.0;11.95;-5.41;1.59;0.0
20160409:0710;10.0;149.0;0.0;22.38;-4.32;1.59;0.0
20160409:0810;1.0;166.0;0.0;32.35;-3.22;1.6;0.0
20160409:0910;0.0;154.0;0.0;41.24;-2.13;1.6;0.0
20160409:1010;0.0;142.0;0.0;48.15;-1.48;1.43;0.0
20160409:1110;0.0;119.0;0.0;51.84;-0.82;1.27;0.0
20160409:1210;0.0;164.0;0.0;51.3;-0.17;1.1;0.0
20160409:1310;0.0;92.0;0.0;46.71;-0.35;1.33;0.0
20160409:1410;0.0;99.0;0.0;39.2;-0.53;1.56;0.0
20160409:1510;0.0;128.0;0.0;29.97;-0.71;1.79;0.0
20160409:1610;21.0;154.0;0.0;19.85;-1.14;1.75;0.0
20160409:1710;0.0;12.0;0.0;9.36;-1.57;1.71;0.0
20160409:1810;0.0;0.0;0.0;0.0;-2.0;1.67;0.0
20160409:1910;0.0;0.0;0.0;0.0;-2.99;1.67;0.0
20160409:2010;0.0;0.0;0.0;0.0;-3.98;1.68;0.0
20160409:2110;0.0;0.0;0.0;0.0;-4.97;1.68;0.0
20160409:2210;0.0;0.0;0.0;0.0;-5.27;1.45;0.0
20160409:2310;0.0;0.0;0.0;0.0;-5.58;1.22;0.0
20160410:0010;0.0;0.0;0.0;0.0;-5.89;0.99;0.0
20160410:0110;0.0;0.0;0.0;0.0;-6.17;1.01;0.0
20160410:0210;0.0;0.0;0.0;0.0;-6.45;1.02;0.0
20160410:0310;0.0;0.0;0.0;0.0;-6.73;1.03;0.0
20160410:0410;0.0;0.0;0.0;0.0;-6.77;1.11;0.0
20160410:0510;0.0;0.0;0.0;0.0;-6.8;1.18;0.0
20160410:0610;0.0;82.0;0.0;12.26;-6.83;1.26;0.0
20160410:0710;202.0;124.0;0.0;22.7;-4.18;1.03;0.0
20160410:0810;378.0;136.0;0.0;32.68;-1.52;0.81;0.0
20160410:0910;504.01;155.0;0.0;41.59;1.13;0.59;0.0
20160410:1010;571.01;183.0;0.0;48.53;1.82;0.91;0.0
20160410:1110;679.01;150.0;0.0;52.22;2.5;1.24;0.0
20160410:1210;675.01;150.0;0.0;51.65;3.19;1.56;0.0
20160410:1310;644.01;130.0;0.0;47.01;3.01;1.65;0.0
20160410:1410;519.01;135.0;0.0;39.46;2.82;1.73;0.0
20160410:1510;412.0;101.0;0.0;30.2;2.64;1.82;0.0
20160410:1610;238.0;90.0;0.0;20.06;2.23;1.84;0.0
20160410:1710;0.0;53.0;0.0;9.57;1.82;1.86;0.0
20160410:1810;0.0;0.0;0.0;0.0;1.4;1.88;0.0
20160410:1910;0.0;0.0;0.0;0.0;0.64;1.84;0.0
20160410:2010;0.0;0.0;0.0;0.0;-0.12;1.8;0.0
20160410:2110;0.0;0.0;0.0;0.0;-0.89;1.77;0.0
20160410:2210;0.0;0.0;0.0;0.0;-1.16;1.33;0.0
20160410:2310;0.0;0.0;0.0;0.0;-1.43;0.89;0.0
20160411:0010;0.0;0.0;0.0;0.0;-1.7;0.46;0.0
20160411:0110;0.0;0.0;0.0;0.0;-2.28;0.39;0.0
20160411:0210;0.0;0.0;0.0;0.0;-2.87;0.33;0.0
20160411:0310;0.0;0.0;0.0;0.0;-3.45;0.26;0.0
20160411:0410;0.0;0.0;0.0;0.0;-3.4;0.31;0.0
20160411:0510;0.0;0.0;0.0;0.0;-3.35;0.35;0.0
20160411:0610;0.0;66.0;0.0;12.57;-3.29;0.4;0.0
20160411:0710;263.0;93.0;0.0;23.01;-1.67;0.98;0.0
20160411:0810;291.0;189.0;0.0;33.0;-0.05;1.57;0.0
20160411:0910;0.0;99.0;0.0;41.94;1.57;2.15;0.0
20160411:1010;0.0;189.0;0.0;48.89;1.94;2.47;0.0
20160411:1110;384.01;323.0;0.0;52.59;2.3;2.8;0.0
20160411:1210;0.0;255.0;0.0;52.0;2.67;3.12;0.0
20160411:1310;0.0;130.0;0.0;47.31;2.04;2.94;0.0
20160411:1410;274.0;274.0;0.0;39.72;1.41;2.76;0.0
20160411:1510;109.0;249.0;0.0;30.43;0.78;2.58;0.0
20160411:1610;79.0;163.0;0.0;20.28;0.59;2.2;0.0
20160411:1710;0.0;75.0;0.0;9.78;0.39;1.82;0.0
20160411:1810;0.0;0.0;0.0;0.0;0.19;1.43;0.0
20160411:1910;0.0;0.0;0.0;0.0;-0.55;1.18;0.0
20160411:2010;0.0;0.0;0.0;0.0;-1.3;0.93;0.0
20160411:2110;0.0;0.0;0.0;0.0;-2.05;0.68;0.0
20160411:2210;0.0;0.0;0.0;0.0;-2.53;0.54;0.0
20160411:2310;0.0;0.0;0.0;0.0;-3.01;0.4;0.0
20160412:0010;0.0;0.0;0.0;0.0;-3.49;0.26;0.0
20160412:0110;0.0;0.0;0.0;0.0;-3.31;0.34;0.0
20160412:0210;0.0;0.0;0.0;0.0;-3.14;0.43;0.0
20160412:0310;0.0;0.0;0.0;0.0;-2.96;0.51;0.0
20160412:0410;0.0;0.0;0.0;0.0;-3.26;0.51;0.0
20160412:0510;0.0;0.0;0.0;0.0;-3.56;0.5;0.0
20160412:0610;0.0;72.0;0.0;12.88;-3.86;0.5;0.0
20160412:0710;278.0;88.0;0.0;23.33;-1.88;0.6;0.0
20160412:0810;443.0;102.0;0.0;33.33;0.1;0.71;0.0
20160412:0910;596.01;103.0;0.0;42.28;2.08;0.81;0.0
20160412:1010;676.01;122.0;0.0;49.26;2.64;1.29;0.0
20160412:1110;727.01;125.0;0.0;52.96;3.19;1.76;0.0
20160412:1210;237.0;385.0;0.0;52.35;3.75;2.23;0.0
20160412:1310;66.0;370.0;0.0;47.62;3.2;2.28;0.0
20160412:1410;0.0;78.0;0.0;39.98;2.65;2.33;0.0
20160412:1510;62.0;252.0;0.0;30.66;2.1;2.37;0.0
20160412:1610;195.0;119.0;0.0;20.49;1.93;2.09;0.0
20160412:1710;0.0;70.0;0.0;9.99;1.75;1.8;0.0
20160412:1810;0.0;0.0;0.0;0.0;1.57;1.52;0.0
20160412:1910;0.0;0.0;0.0;0.0;0.79;1.25;0.0
20160412:2010;0.0;0.0;0.0;0.0;0.01;0.97;0.0
20160412:2110;0.0;0.0;0.0;0.0;-0.77;0.7;0.0
20160412:2210;0.0;0.0;0.0;0.0;-1.15;0.59;0.0
20160412:2310;0.0;0.0;0.0;0.0;-1.53;0.48;0.0
20160413:0010;0.0;0.0;0.0;0.0;-1.91;0.37;0.0
20160413:0110;0.0;0.0;0.0;0.0;-2.07;0.32;0.0
20160413:0210;0.0;0.0;0.0;0.0;-2.24;0.26;0.0
20160413:0310;0.0;0.0;0.0;0.0;-2.4;0.21;0.0
20160413:0410;0.0;0.0;0.0;0.0;-2.48;0.19;0.0
20160413:0510;0.0;0.0;0.0;0.0;-2.55;0.17;0.0
20160413:0610;0.0;76.0;0.0;13.18;-2.62;0.15;0.0
20160413:0710;0.0;96.0;0.0;23.63;-1.43;0.54;0.0
20160413:0810;0.0;92.0;0.0;33.65;-0.23;0.92;0.0
20160413:0910;0.0;108.0;0.0;42.62;0.96;1.31;0.0
20160413:1010;0.0;116.0;0.0;49.62;1.16;1.54;0.0
20160413:1110;7.0;321.0;0.0;53.33;1.35;1.76;0.0
20160413:1210;1.0;266.0;0.0;52.69;1.55;1.99;0.0
20160413:1310;0.0;82.0;0.0;47.91;1.01;1.77;0.0
20160413:1410;0.0;201.0;0.0;40.24;0.46;1.55;0.0
20160413:1510;6.0;204.0;0.0;30.89;-0.08;1.34;0.0
20160413:1610;0.0;92.0;0.0;20.7;-0.82;1.45;0.0
20160413:1710;0.0;29.0;0.0;10.2;-1.56;1.57;0.0
20160413:1810;0.0;0.0;0.0;0.0;-2.31;1.68;0.0
20160413:1910;0.0;0.0;0.0;0.0;-2.49;1.69;0.0
20160413:2010;0.0;0.0;0.0;0.0;-2.67;1.69;0.0
20160413:2110;0.0;0.0;0.0;0.0;-2.86;1.7;0.0
20160413:2210;0.0;0.0;0.0;0.0;-2.61;1.71;0.0
20160413:2310;0.0;0.0;0.0;0.0;-2.36;1.71;0.0
20160414:0010;0.0;0.0;0.0;0.0;-2.12;1.72;0.0
20160414:0110;0.0;0.0;0.0;0.0;-2.66;1.82;0.0
20160414:0210;0.0;0.0;0.0;0.0;-3.2;1.92;0.0
20160414:0310;0.0;0.0;0.0;0.0;-3.74;2.01;0.0
20160414:0410;0.0;0.0;0.0;0.0;-3.41;2.06;0.0
20160414:0510;0.0;10.0;0.0;3.01;-3.08;2.1;0.0
20160414:0610;0.0;89.0;0.0;13.48;-2.75;2.14;0.0
20160414:0710;127.0;172.0;0.0;23.94;-1.86;2.32;0.0
20160414:0810;146.0;260.0;0.0;33.97;-0.97;2.51;0.0
20160414:0910;117.0;339.0;0.0;42.96;-0.08;2.69;0.0
20160414:1010;212.0;372.0;0.0;49.98;0.81;2.45;0.0
20160414:1110;69.0;404.0;0.0;53.7;1.69;2.2;0.0
20160414:1210;329.0;353.0;0.0;53.03;2.58;1.96;0.0
20160414:1310;565.01;190.0;0.0;48.21;2.59;1.65;0.0
20160414:1410;440.01;193.0;0.0;40.49;2.59;1.33;0.0
20160414:1510;389.0;126.0;0.0;31.11;2.6;1.02;0.0
20160414:1610;247.0;94.0;0.0;20.91;2.46;0.84;0.0
20160414:1710;0.0;82.0;0.0;10.41;2.32;0.65;0.0
20160414:1810;0.0;0.0;0.0;0.0;2.18;0.47;0.0
20160414:1910;0.0;0.0;0.0;0.0;1.4;0.47;0.0
20160414:2010;0.0;0.0;0.0;0.0;0.62;0.48;0.0
20160414:2110;0.0;0.0;0.0;0.0;-0.16;0.48;0.0
20160414:2210;0.0;0.0;0.0;0.0;-0.53;0.49;0.0
20160414:2310;0.0;0.0;0.0;0.0;-0.91;0.5;0.0
20160415:0010;0.0;0.0;0.0;0.0;-1.29;0.51;0.0
20160415:0110;0.0;0.0;0.0;0.0;-1.44;0.55;0.0
20160415:0210;0.0;0.0;0.0;0.0;-1.6;0.59;0.0
20160415:0310;0.0;0.0;0.0;0.0;-1.76;0.63;0.0
20160415:0410;0.0;0.0;0.0;0.0;-1.33;0.62;0.0
20160415:0510;0.0;11.0;0.0;3.31;-0.9;0.61;0.0
20160415:0610;0.0;22.0;0.0;13.78;-0.46;0.59;0.0
20160415:0710;0.0;48.0;0.0;24.24;0.56;0.73;0.0
20160415:0810;6.0;216.0;0.0;34.28;1.57;0.86;0.0
20160415:0910;19.0;299.0;0.0;43.3;2.59;0.99;0.0
20160415:1010;0.0;133.0;0.0;50.34;3.09;1.36;0.0
20160415:1110;40.0;385.0;0.0;54.06;3.58;1.73;0.0
20160415:1210;0.0;196.0;0.0;53.37;4.08;2.1;0.0
20160415:1310;0.0;135.0;0.0;48.5;4.17;2.28;0.0
20160415:1410;0.0;167.0;0.0;40.74;4.27;2.46;0.0
20160415:1510;0.0;96.0;0.0;31.34;4.36;2.65;0.0
20160415:1610;0.0;71.0;0.0;21.12;3.47;2.27;0.0
20160415:1710;0.0;50.0;0.0;10.62;2.58;1.89;0.0
20160415:1810;0.0;0.0;0.0;0.0;1.68;1.5;0.0
20160415:1910;0.0;0.0;0.0;0.0;0.81;1.7;0.0
20160415:2010;0.0;0.0;0.0;0.0;-0.07;1.89;0.0
20160415:2110;0.0;0.0;0.0;0.0;-0.95;2.08;0.0
20160415:2210;0.0;0.0;0.0;0.0;-1.19;2.04;0.0
